Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Value_co2_emissions_kt_by_country
212.5,0.0,21.13,387540.0085
213.56,0.0,27.33,386380.0049
206.75,0.0,26.63,386970.0012
195.78,0.0,34.2,380279.9988
205.46,0.0,36.15,371630.0049
197.72,0.0,33.12,377799.9878
207.66,0.0,38.41,384989.9902
209.14,0.0,40.77,389160.0037
207.45,0.0,42.93,387070.0073
196.45,0.0,53.41,386529.9988
186.92,0.0,63.99,0.0
16.41,0.0,43.44,63530.0
18.82,0.0,42.24,67910.0
18.79,0.0,41.9,69370.00275
22.82,0.0,35.24,74459.99908
22.31,0.0,39.62,75800.00305
23.61,0.0,40.88,76239.99786
21.62,0.0,40.66,74099.99847
19.74,0.0,43.17,71239.99786
19.97,0.0,44.53,70730.00336
19.12,0.0,47.18,64419.99817
22.92,0.0,44.99,69959.99908
21.35,0.0,40.91,68269.99664
17.37,0.0,51.33,65110.00061
14.09,0.0,50.5,65750.0
11.42,0.0,50.2,62049.99924
14.26,0.0,47.59,63240.00168
14.17,0.0,51.08,63680.00031
16.37,0.0,51.05,65860.00061
14.98,0.0,50.06,63060.00137
16.22,0.0,54.64,64769.99664
13.77,0.0,55.42,0.0
16.13,0.0,1.52,27690.0
16.61,0.0,1.29,26400.0
16.47,0.0,2.0,26180.00031
17.69,0.0,2.44,28569.99969
17.76,0.0,2.73,28309.99947
17.12,0.0,2.98,30040.00092
19.83,0.0,2.49,30489.99977
18.31,0.0,2.34,27629.99916
18.24,0.0,2.21,30450.00076
15.57,0.0,2.29,25500.0
14.34,0.0,3.41,24309.99947
16.57,0.0,2.65,27280.00069
19.9,0.0,1.8,30110.00061
20.56,0.0,1.47,30940.00053
22.03,0.0,1.29,32240.00168
21.66,0.0,1.62,31770.00046
21.57,0.0,2.0,32240.00168
21.17,0.0,1.79,31959.99908
21.95,0.0,1.87,32729.99954
22.91,0.0,1.69,35509.99832
23.16,0.0,1.22,0.0
13.02,0.0,0.0,15880.0
13.74,0.0,0.0,16390.0
14.34,0.0,0.0,17219.99931
14.76,0.0,0.0,17940.00053
15.18,0.0,0.0,17930.00031
18.2,0.0,0.0,20690.00053
19.77,0.0,0.0,22489.99977
20.42,0.0,0.0,23000.0
21.45,0.0,0.0,24760.00023
21.21,0.0,0.0,24719.99931
22.39,0.0,0.0,25969.99931
22.88,0.0,0.0,26020.00046
23.29,0.0,0.0,27170.00008
24.36,0.0,0.0,28850.00038
25.62,0.0,0.01,30280.00069
26.77,0.0,0.01,30579.99992
26.8,0.0,0.01,30299.99924
27.47,0.0,0.01,30520.00046
27.77,0.0,0.01,30809.99947
31.43,0.0,0.01,33259.99832
29.85,0.0,0.01,0.0
13.93,0.0,0.94,21650.0
15.41,0.0,0.98,25780.0
16.55,0.0,1.05,27430.00031
17.47,0.0,1.12,28629.99916
22.05,0.0,1.21,30530.00069
24.15,0.0,1.28,32709.99908
27.86,0.0,1.39,35900.00153
28.45,0.0,0.76,37990.00168
31.36,0.0,0.96,41580.00183
34.6,0.0,0.47,44750.0
37.65,0.0,0.84,50580.00183
40.67,0.0,0.99,54419.99817
44.91,0.0,0.93,57990.00168
48.94,0.0,1.1,60599.99847
51.78,0.0,0.81,63830.00183
54.76,0.0,0.83,72190.00244
63.57,0.0,1.27,74379.99725
67.59,0.0,1.32,79339.99634
72.56,0.0,1.4,83449.99695
78.37,0.0,1.14,90739.99786
74.41,0.0,1.31,0.0
0.76,0.0,0.0,1240.0
0.8,0.0,0.0,1310.0
0.83,0.0,0.0,1370.000005
0.87,0.0,0.0,1379.999995
0.9,0.0,0.0,1360.000014
0.95,0.0,0.0,1419.999957
0.98,0.0,0.0,1470.000029
1.0,0.0,0.0,1480.000019
1.01,0.0,0.0,1779.999971
1.02,0.0,0.0,4619.999886
0.97,0.0,0.0,1549.999952
0.99,0.0,0.0,1759.99999
1.06,0.0,0.0,2119.999886
0.95,0.0,0.0,1440.000057
0.96,0.0,0.01,1269.999981
0.97,0.0,0.01,1269.999981
0.98,0.0,0.02,1289.999962
0.98,0.0,0.03,1179.999948
0.97,0.0,0.03,1240.00001
0.98,0.0,0.04,1250.0
0.93,0.0,0.07,0.0
24.51,0.0,0.03,52940.0
23.53,0.0,0.03,51880.0
24.84,0.0,0.03,51840.00015
25.0,0.0,0.03,52700.00076
29.31,0.0,0.03,56040.00092
29.07,0.0,0.04,56779.99878
29.79,0.0,0.06,59119.99893
29.81,0.0,0.07,57650.00153
32.79,0.0,0.11,60529.99878
28.38,0.0,0.1,57400.00153
32.68,0.0,0.12,61669.99817
30.12,0.0,0.12,58549.99924
28.78,0.0,0.16,59939.99863
29.31,0.0,0.29,59990.00168
32.36,0.0,0.27,59500.0
31.73,0.0,0.29,54819.99969
31.15,0.0,0.4,55139.99939
31.71,0.0,0.75,56009.99832
35.85,0.0,0.81,58950.00076
36.74,0.0,0.94,57669.99817
34.59,0.34,1.27,0.0
33.58,48.16,1.05,117270.0
31.2,46.35,1.08,118340.0
32.44,47.36,1.14,110849.9985
34.99,47.38,1.2,115500.0
34.11,47.31,1.5,114019.9966
34.39,47.6,2.11,110610.0006
33.46,46.65,2.96,108650.0015
34.84,48.23,3.49,104589.9963
32.82,45.57,4.42,106930.0003
37.0,47.22,5.45,99669.99817
38.39,47.94,6.54,106720.0012
32.51,48.23,8.31,96480.00336
30.62,40.29,10.51,95269.99664
27.37,42.64,11.71,96589.99634
25.03,33.7,12.21,90139.99939
27.57,26.1,14.45,95129.99725
26.19,43.52,14.25,94220.00122
26.9,42.23,15.8,92720.00122
27.75,28.6,17.17,93660.00366
29.32,43.52,19.47,93010.00214
30.0,34.43,23.46,0.0
0.09,0.0,0.09,450.0
0.06,0.0,0.09,530.0
0.06,0.0,0.09,519.9999809
0.11,0.0,0.06,509.9999905
0.1,0.0,0.06,439.9999976
0.1,0.0,0.07,469.9999988
0.05,0.0,0.18,509.9999905
0.06,0.0,0.18,529.9999714
0.03,0.0,0.2,500.0
0.05,0.0,0.2,1460.000038
0.18,0.0,0.31,560.0000024
0.14,0.0,0.29,670.0000167
0.2,0.0,0.27,670.0000167
0.15,0.0,0.3,460.0000083
0.19,0.0,0.32,479.9999893
0.23,0.0,0.31,680.0000072
0.21,0.0,0.32,649.9999762
0.35,0.0,0.41,639.9999857
0.39,0.0,0.4,629.9999952
0.41,0.0,0.47,639.9999857
0.38,0.0,0.24,0.0
0.08,0.0,0.0,1420.0
0.06,0.0,0.0,1740.0
0.06,0.0,0.0,2180.000067
0.07,0.0,0.0,2440.000057
0.08,0.0,0.0,2650.000095
0.1,0.0,0.0,2900.000095
0.14,0.0,0.0,3470.000029
0.2,0.0,0.0,4000.0
0.21,0.0,0.0,4019.999981
0.12,0.0,0.0,4420.000076
0.11,0.0,0.0,4829.999924
0.09,0.0,0.0,4650.000095
0.05,0.0,0.0,4440.000057
0.09,0.0,0.0,4679.999828
0.22,0.0,0.0,5190.000057
0.3,0.0,0.0,5510.000229
0.25,0.0,0.0,6739.999771
0.31,0.0,0.0,6869.999886
0.19,0.0,0.0,7420.000076
0.19,0.0,0.01,7300.000191
0.22,0.0,0.01,0.0
0.0,0.0,1.79,210.0
0.0,0.0,1.92,230.0
0.0,0.0,2.18,239.9999946
0.0,0.0,2.5,259.9999905
0.0,0.0,2.33,289.9999917
0.0,0.0,2.62,319.9999928
0.0,0.0,4.47,319.9999928
0.0,0.0,6.49,319.9999928
0.0,0.0,6.89,300.0000119
0.0,0.0,6.93,319.9999928
0.0,0.0,7.26,400.000006
0.0,0.0,6.97,589.9999738
0.0,0.0,6.74,639.9999857
0.0,0.0,7.53,670.0000167
0.0,0.0,7.15,699.9999881
0.0,0.0,7.73,769.9999809
0.0,0.0,7.88,930.0000072
0.0,0.0,7.65,970.0000286
0.0,0.0,6.89,1049.999952
0.0,0.0,8.95,1049.999952
0.0,0.0,8.95,0.0
5.01,0.0,5.04,13960.0
