Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Value_co2_emissions_kt_by_country
15.55,0.0,1.82,28690.00053
16.4,0.0,1.77,28870.00084
16.52,0.0,1.8,26690.00053
17.37,0.0,1.85,29209.99908
17.64,0.0,1.74,27170.00008
17.57,0.0,1.82,26239.99977
17.64,0.0,2.0,26709.99908
16.54,0.0,2.99,25909.99985
15.47,0.0,3.13,0.0
3.37,0.0,0.0,7130.0
3.55,0.0,0.0,6990.0
3.79,0.0,0.0,7170.000076
4.05,0.0,0.0,7829.999924
4.2,0.0,0.0,7780.00021
4.38,0.0,0.0,7900.000095
4.65,0.0,0.0,8000.0
4.87,0.0,0.0,8310.00042
5.06,0.0,0.01,8489.999771
5.18,0.0,0.03,8279.999733
5.25,0.0,0.08,7900.000095
4.75,0.0,0.17,7630.000114
4.46,0.0,0.26,7099.999905
3.96,0.0,0.33,6429.999828
4.03,0.0,0.31,6809.999943
4.14,0.0,0.4,6849.999905
4.46,0.0,0.43,7219.99979
4.57,0.0,0.43,7360.000134
4.58,0.0,0.48,7199.999809
4.63,0.0,0.52,7190.000057
4.25,0.0,0.6,0.0
57.03,13.59,2.28,123170.0
56.9,14.75,2.57,122720.0
54.27,18.74,2.99,118529.9988
55.05,25.87,1.87,122769.9966
54.72,26.33,2.74,123440.0024
54.07,24.73,3.13,119989.9979
54.09,26.05,3.52,120599.9985
58.18,26.17,3.42,123620.0027
53.01,26.55,3.72,118309.9976
49.77,27.21,4.66,111169.9982
51.33,28.0,5.91,112250.0
51.15,28.28,7.24,109169.9982
48.22,30.32,8.07,106069.9997
45.89,30.75,9.3,101150.0015
45.51,30.33,9.17,97510.00214
46.27,26.84,9.41,99139.99939
48.52,24.1,9.39,101730.0034
47.81,28.34,9.63,101830.0018
47.51,29.92,9.43,100900.0015
45.44,30.25,10.08,96290.00092
39.72,30.04,10.39,0.0
30.43,0.0,5.57,52600.0
31.87,0.0,5.85,54250.0
32.49,0.0,6.79,53840.00015
38.09,0.0,8.07,59229.99954
30.9,0.0,9.52,53729.99954
26.43,0.0,9.8,50200.00076
36.41,0.0,9.2,58130.00107
29.01,0.0,10.3,53409.99985
26.52,0.0,10.1,50130.00107
26.32,0.0,10.06,47930.00031
26.44,0.0,12.43,48119.99893
21.05,0.0,14.17,43099.99847
15.86,0.0,14.84,38220.00122
18.78,0.0,15.96,39959.99908
14.2,0.0,17.99,35819.99969
10.0,0.0,18.93,33700.00076
12.16,0.0,18.39,35319.99969
9.23,0.0,21.8,33130.00107
9.61,0.0,20.75,33130.00107
6.44,0.0,23.07,29700.00076
5.28,0.0,23.45,0.0
0.18,0.0,0.0,370.0
0.18,0.0,0.0,380.0
0.19,0.0,0.0,400.000006
0.19,0.0,0.0,409.9999964
0.2,0.0,0.0,400.000006
0.24,0.0,0.0,430.0000072
0.26,0.0,0.0,430.0000072
0.3,0.0,0.0,469.9999988
0.32,0.0,0.0,469.9999988
0.33,0.0,0.0,469.9999988
0.36,0.0,0.0,519.9999809
0.36,0.0,0.0,479.9999893
0.37,0.0,0.0,500.0
0.41,0.0,0.0,560.0000024
0.09,0.0,0.0,400.000006
0.17,0.0,0.0,460.0000083
0.08,0.0,0.0,419.9999869
0.06,0.0,0.0,419.9999869
0.05,0.0,0.0,400.000006
0.06,0.0,0.0,419.9999869
0.05,0.0,0.0,0.0
0.04,0.0,0.03,130.0
0.05,0.0,0.03,150.0
0.04,0.0,0.03,119.9999973
0.05,0.0,0.03,140.0000006
0.04,0.0,0.03,159.9999964
0.05,0.0,0.03,159.9999964
0.05,0.0,0.03,170.0000018
0.06,0.0,0.02,180.0000072
0.06,0.0,0.02,180.0000072
0.06,0.0,0.02,500.0
0.07,0.0,0.02,180.0000072
0.06,0.0,0.04,180.0000072
0.07,0.0,0.03,250.0
0.06,0.0,0.04,170.0000018
0.07,0.0,0.03,180.0000072
0.08,0.0,0.02,180.0000072
0.07,0.0,0.04,180.0000072
0.05,0.0,0.03,170.0000018
0.04,0.0,0.02,170.0000018
0.07,0.0,0.02,170.0000018
0.12,0.0,0.04,0.0
7.34,0.0,0.75,18670.0
9.07,0.0,0.7,18980.0
10.98,0.0,0.87,20879.99916
11.38,0.0,1.19,18729.99954
9.58,0.0,1.6,17280.00069
10.14,0.0,1.91,18690.00053
11.36,0.0,1.75,20370.00084
11.98,0.0,1.7,20629.99916
10.34,0.0,1.38,20579.99992
10.13,0.0,1.46,19659.99985
12.5,0.0,1.48,20680.00031
13.33,0.0,1.59,20909.99985
13.86,0.0,1.93,21680.00031
14.54,0.0,2.19,21290.00092
14.63,0.0,1.64,21450.00076
15.59,0.0,1.32,23590.00015
16.53,0.0,2.14,24590.00015
16.07,0.0,2.94,23549.99924
16.89,0.0,2.74,25309.99947
16.91,0.0,2.36,27229.99954
13.74,0.0,2.9,0.0
2.82,0.0,7.53,22050.0
3.74,0.0,7.0,24250.0
4.1,0.0,7.45,24170.00008
4.11,0.0,7.11,24659.99985
5.59,0.0,7.5,26180.00031
5.09,0.0,7.07,28219.99931
6.17,0.0,7.35,30129.99916
7.33,0.0,9.26,30639.99939
6.68,0.0,11.58,31690.00053
8.36,0.0,9.57,34500.0
9.77,0.0,9.0,37250.0
8.47,0.0,11.41,37099.99847
9.57,0.0,12.54,37090.00015
10.98,0.0,11.46,39700.00076
11.36,0.0,12.09,41799.99924
11.34,0.0,13.74,41520.00046
10.77,0.0,16.37,39810.00137
7.4,0.0,20.44,38549.99924
7.97,0.0,21.06,40139.99939
7.09,0.0,25.2,39290.00092
6.45,0.0,24.83,0.0
1.7,0.0,2.03,5630.0
1.46,0.0,2.33,5870.0
1.57,0.0,2.4,5940.000057
1.46,0.0,2.81,6510.000229
1.61,0.0,2.73,6679.999828
1.64,0.0,3.07,6840.000153
2.11,0.0,3.49,7239.999771
2.21,0.0,3.51,7630.000114
2.08,0.0,3.91,6909.999847
2.38,0.0,3.47,6679.999828
2.0,0.0,3.97,6539.999962
1.97,0.0,4.12,6780.00021
2.08,0.0,4.18,6769.999981
2.15,0.0,4.12,6460.000038
2.1,0.0,4.14,6590.000153
2.44,0.0,3.57,7000.0
2.34,0.0,3.68,7170.000076
1.55,0.0,3.94,6380.000114
1.38,0.0,3.95,6809.999943
1.84,0.0,4.15,7800.000191
1.29,0.0,4.97,0.0
0.08,0.0,0.01,2220.0
0.05,0.0,0.01,3400.0
0.1,0.0,0.01,4630.000114
0.11,0.0,0.01,5010.000229
0.16,0.0,0.01,6199.999809
0.19,0.0,0.01,8319.999695
0.25,0.0,0.01,9369.999886
0.31,0.0,0.01,8539.999962
0.41,0.0,0.05,9779.999733
0.46,0.0,0.05,9710.000038
0.55,0.0,0.03,9949.999809
0.62,0.0,0.03,9989.999771
0.67,0.0,0.08,9819.999695
0.71,0.0,0.25,9180.000305
0.71,0.0,0.38,7909.999847
0.83,0.0,0.47,6570.000172
0.93,0.0,0.47,6659.999847
0.9,0.0,0.44,5800.000191
0.91,0.0,0.44,6429.999828
0.95,0.0,0.45,5349.999905
0.92,0.0,0.49,0.0
0.2,0.0,0.0,640.0
0.22,0.0,0.0,700.0
0.24,0.0,0.0,680.0000072
0.26,0.0,0.0,689.9999976
0.27,0.0,0.0,680.0000072
0.27,0.0,0.0,600.0000238
0.25,0.0,0.0,519.9999809
0.27,0.0,0.0,509.9999905
0.27,0.0,0.0,449.9999881
0.28,0.0,0.0,469.9999988
0.29,0.0,0.0,500.0
0.3,0.0,0.0,569.9999928
0.31,0.0,0.0,620.0000048
0.32,0.0,0.0,639.9999857
0.32,0.0,0.0,649.9999762
0.33,0.0,0.0,649.9999762
0.34,0.0,0.0,660.0000262
0.4,0.0,0.01,720.0000286
0.42,0.0,0.01,850.0000238
0.43,0.0,0.01,879.9999952
0.41,0.0,0.01,0.0
8.5,0.0,0.01,14920.0
8.47,0.0,0.02,15380.0
8.5,0.0,0.03,14949.99981
10.11,0.0,0.05,16940.00053
10.25,0.0,0.06,17020.00046
10.09,0.0,0.11,17229.99954
9.6,0.0,0.13,15979.99954
12.04,0.0,0.14,19979.99954
10.38,0.0,0.2,18399.99962
8.24,0.0,0.54,15050.00019
11.92,0.0,1.05,19000.0
11.71,0.0,1.18,18170.00008
10.49,0.0,1.47,16889.99939
12.05,0.0,1.23,19319.99969
11.06,0.0,1.39,17940.00053
8.59,0.0,1.56,15539.99996
10.58,0.0,1.59,15989.99977
11.3,0.0,1.86,16709.99908
10.38,0.0,1.99,15319.99969
5.47,0.0,2.14,10180.00031
3.11,0.0,2.97,0.0
0.06,0.0,0.55,690.0
0.06,0.0,0.57,610.0
0.06,0.0,0.59,620.0000048
0.06,0.0,0.5,629.9999952
0.06,0.0,0.47,629.9999952
0.06,0.0,0.54,660.0000262
0.06,0.0,0.54,649.9999762
0.06,0.0,0.57,660.0000262
0.06,0.0,0.54,629.9999952
0.06,0.0,0.57,699.9999881
0.06,0.0,0.58,649.9999762
0.03,0.0,0.68,660.0000262
0.04,0.0,0.7,680.0000072
0.04,0.0,0.77,750.0
0.04,0.0,0.61,750.0
0.04,0.0,0.51,769.9999809
0.04,0.0,0.52,839.9999738
0.04,0.0,0.63,889.9999857
0.04,0.0,0.71,910.0000262
0.04,0.0,0.67,959.9999785
0.04,0.0,0.7,0.0
0.06,0.0,1.64,3560.0
0.06,0.0,1.98,4400.0
0.06,0.0,2.01,4570.000172
0.06,0.0,2.27,5019.999981
0.06,0.0,2.51,5329.999924
0.06,0.0,2.82,5050.000191
0.06,0.0,3.24,5400.000095
0.17,0.0,3.37,5960.000038
0.44,0.0,3.31,6489.999771
0.42,0.0,3.55,6530.00021
0.08,0.0,4.91,6469.99979
0.07,0.0,6.25,7539.999962
0.04,0.0,7.51,8479.999542
0.03,0.0,8.64,10079.99992
0.02,0.0,9.45,12340.00015
0.02,0.0,10.37,12890.00034
0.01,0.0,12.46,14970.00027
0.01,0.0,13.12,15819.99969
0.01,0.0,13.78,17239.99977
0.01,0.0,14.22,18360.00061
0.01,0.0,14.22,0.0
0.18,0.0,0.44,810.0
0.17,0.0,0.5,1040.0
0.21,0.0,0.5,879.9999952
0.31,0.0,0.41,1049.999952
0.31,0.0,0.44,1470.000029
0.37,0.0,0.42,1289.999962
0.39,0.0,0.45,1379.999995
0.27,0.0,0.6,1259.99999
0.26,0.0,0.62,970.0000286
0.28,0.0,0.58,970.0000286
0.35,0.0,0.55,1159.999967
0.3,0.0,0.56,1110.000014
0.24,0.0,0.62,1029.999971
0.27,0.0,0.61,1129.999995
0.38,0.0,0.53,1289.999962
0.43,0.0,0.53,1379.999995
0.36,0.0,0.6,1519.999981
0.41,0.0,0.64,1649.999976
0.38,0.0,0.71,1629.999995
0.42,0.0,0.71,1629.999995
0.4,0.0,0.7,0.0
23.93,22.48,23.38,55100.0
29.98,22.77,21.54,61090.0
32.6,22.3,19.83,63439.99863
42.29,22.73,19.06,71709.99908
37.25,22.72,25.63,67680.00031
23.6,23.27,23.46,55459.99908
36.68,22.91,22.46,67019.99664
33.18,23.42,24.32,65099.99847
26.25,22.96,27.77,56659.99985
26.55,23.53,21.7,54180.00031
33.36,22.8,24.18,62529.99878
25.84,23.19,24.18,55119.99893
18.54,22.99,28.56,49409.99985
21.74,23.61,25.63,50189.99863
17.95,23.58,26.28,46159.99985
14.58,23.25,30.53,42819.99969
14.87,23.2,30.41,45700.00076
13.17,22.48,31.48,43020.00046
15.05,22.79,32.14,44580.00183
12.63,23.87,31.88,40709.99908
9.82,23.29,35.93,0.0
50.61,415.16,67.83,373120.0
46.48,421.08,76.09,376730.0
52.67,436.76,62.69,371019.989
57.38,441.07,61.47,376709.9915
56.53,448.24,62.42,377790.0085
63.35,451.53,54.98,380660.0037
56.9,450.19,60.91,371549.9878
58.18,439.73,64.3,362829.9866
55.57,439.45,72.33,357989.9902
51.32,409.74,68.15,343730.011
57.63,428.52,76.68,347779.9988
58.99,442.39,66.02,335140.0146
56.42,425.41,85.25,338420.0134
53.35,423.68,99.42,338559.9976
35.68,436.48,94.03,306100.0061
44.65,437.43,91.84,311299.9878
56.45,403.2,99.0,313920.0134
65.09,398.36,92.63,317829.9866
49.27,412.94,113.62,307049.9878
53.5,399.01,113.21,300519.989
48.14,353.83,125.28,0.0
0.48,0.0,0.8,6080.0
0.48,0.0,0.87,6230.0
0.51,0.0,0.91,5960.000038
0.57,0.0,0.89,6440.000057
0.6,0.0,0.88,6090.000153
0.71,0.0,0.8,6059.999943
0.67,0.0,0.94,5440.000057
0.89,0.0,0.79,4940.000057
0.89,0.0,0.88,5269.999981
0.87,0.0,0.94,5199.999809
0.97,0.0,0.9,5760.000229
1.13,0.0,0.83,5780.00021
1.18,0.0,0.9,5599.999905
1.09,0.0,0.93,5789.999962
1.13,0.0,0.79,5960.000038
1.12,0.0,0.93,6119.999886
1.28,0.0,0.96,6420.000076
1.25,0.0,0.94,5329.999924
1.26,0.0,0.91,5119.999886
1.25,0.0,1.01,5250.0
1.19,0.0,1.01,0.0
1.47,0.0,5.8,4770.0
1.31,0.0,5.49,3520.0
0.46,0.0,6.7,2960.000038
0.6,0.0,6.46,3160.000086
0.82,0.0,5.99,3369.999886
0.97,0.0,6.17,4239.999771
1.85,0.0,5.26,4699.999809
1.42,0.0,6.75,5630.000114
1.21,0.0,7.09,4840.000153
1.08,0.0,7.34,5619.999886
0.71,0.0,9.27,5320.000172
2.17,0.0,7.81,6519.999981
2.32,0.0,7.15,7190.000057
1.68,0.0,8.19,7840.000153
1.91,0.0,8.25,8470.000267
2.24,0.0,8.37,9199.999809
2.1,0.0,9.25,9649.999619
2.1,0.0,9.21,9729.999542
1.99,0.0,9.93,9569.999695
2.67,0.0,8.93,10109.99966
2.82,0.0,8.34,0.0
367.22,169.61,35.47,830280.0
372.69,171.3,37.9,847680.0
372.64,164.84,44.48,833380.0049
390.81,165.06,46.67,836789.978
385.24,167.07,57.97,821070.0073
386.96,163.05,63.4,802380.0049
390.03,167.27,72.51,814409.9731
402.4,140.53,89.38,783799.9878
390.43,148.49,94.28,789690.0024
358.07,134.93,95.94,734809.9976
378.9,140.56,105.18,773070.0073
373.16,107.97,124.04,746479.9805
377.89,99.46,143.04,760130.0049
381.52,97.29,152.34,776150.0244
360.28,97.13,162.54,736010.0098
359.99,91.79,188.79,742309.9976
368.67,84.63,189.67,747150.0244
353.37,76.32,216.32,732200.0122
334.65,76.0,222.07,707700.0122
284.09,75.07,240.33,657400.0244
251.4,64.38,251.48,0.0
0.58,0.0,6.55,5740.0
1.18,0.0,6.55,6210.0
2.1,0.0,5.01,7429.999828
1.86,0.0,3.87,7139.999866
0.64,0.0,5.24,6679.999828
1.1,0.0,5.58,7039.999962
2.64,0.0,5.58,8510.000229
3.06,0.0,3.71,9119.999886
2.0,0.0,6.14,8659.999847
1.96,0.0,6.82,10010.00023
2.98,0.0,6.95,11189.99958
3.42,0.0,7.51,11750.0
3.71,0.0,8.01,14609.99966
4.36,0.0,8.17,15630.00011
4.31,0.0,8.32,15090.00015
5.36,0.0,5.81,15779.99973
5.84,0.0,5.56,16069.99969
7.17,0.0,5.67,17010.00023
8.3,0.0,6.07,18680.00031
9.37,0.0,7.32,20040.00092
12.82,0.0,7.38,0.0
49.28,0.0,4.14,94460.0
50.14,0.0,2.94,96610.0
50.37,0.0,3.58,96599.99847
52.01,0.0,5.89,100220.0012
52.89,0.0,5.91,99839.99634
53.02,0.0,6.41,101949.9969
52.5,0.0,7.67,100699.9969
58.12,0.0,4.59,104309.9976
57.17,0.0,5.75,100410.0037
52.91,0.0,8.16,94739.99786
46.85,0.0,10.53,87580.00183
51.04,0.0,8.15,84550.00305
50.62,0.0,10.13,80089.99634
42.76,0.0,14.36,72480.00336
38.17,0.0,12.18,69550.00305
36.98,0.0,14.85,68010.00214
39.52,0.0,14.89,66849.99847
41.38,0.0,13.8,66800.00305
37.11,0.0,16.14,65019.99664
32.48,0.0,16.1,60000.0
30.61,0.0,17.55,0.0
0.13,0.0,0.0,210.0
0.14,0.0,0.0,230.0
0.15,0.0,0.0,239.9999946
0.16,0.0,0.0,250.0
0.15,0.0,0.0,230.0000042
0.15,0.0,0.0,250.0
0.17,0.0,0.0,259.9999905
0.18,0.0,0.0,280.0000012
0.19,0.0,0.0,289.9999917
0.2,0.0,0.0,810.0000024
0.2,0.0,0.0,289.9999917
0.2,0.0,0.0,310.0000024
0.19,0.0,0.0,409.9999964
0.19,0.0,0.0,319.9999928
0.19,0.0,0.0,250.0
0.19,0.0,0.0,270.0000107
0.2,0.0,0.0,280.0000012
0.21,0.0,0.0,289.9999917
0.21,0.0,0.0,319.9999928
0.21,0.0,0.0,330.0000131
0.2,0.0,0.0,0.0
2.84,0.0,3.19,9420.0
2.83,0.0,3.0,9810.0
3.35,0.0,2.79,10470.00027
4.1,0.0,3.55,10539.99996
3.45,0.0,3.29,10750.0
4.31,0.0,3.99,11529.99973
3.68,0.0,4.61,11520.00046
4.44,0.0,4.58,12409.99985
3.39,0.0,5.05,11239.99977
4.04,0.0,4.5,11850.00038
2.96,0.0,5.03,11439.99958
3.02,0.0,5.26,11739.99977
3.38,0.0,5.94,12149.99962
3.63,0.0,6.44,13000.0
3.83,0.0,6.86,13949.99981
4.72,0.0,6.71,16340.00015
4.88,0.0,7.16,17489.99977
3.92,0.0,8.76,16569.99969
5.08,0.0,9.04,18319.99969
5.51,0.0,8.3,19309.99947
4.41,0.0,9.01,0.0
0.34,0.0,0.41,1490.0
0.39,0.0,0.55,1570.0
0.4,0.0,0.59,1629.999995
0.47,0.0,0.4,1700.000048
0.39,0.0,0.55,1769.999981
0.39,0.0,0.49,1830.000043
0.39,0.0,0.46,1899.999976
0.41,0.0,0.53,1980.000019
0.44,0.0,0.52,2009.99999
0.44,0.0,0.52,2119.999886
0.44,0.0,0.48,2500.0
0.44,0.0,0.41,2619.999886
0.22,0.0,0.49,2480.000019
0.16,0.0,0.48,2180.000067
0.27,0.0,0.42,2240.00001
0.24,0.0,0.9,2539.999962
0.51,0.0,1.1,2819.999933
0.54,0.0,1.23,3339.999914
0.73,0.0,0.76,3750.0
0.75,0.0,1.31,3950.000048
0.71,0.0,2.49,0.0
0.03,0.0,0.0,150.0
0.03,0.0,0.0,150.0
0.02,0.0,0.0,150.000006
0.02,0.0,0.0,189.9999976
0.03,0.0,0.0,200.000003
0.03,0.0,0.0,209.9999934
0.03,0.0,0.0,219.9999988
0.03,0.0,0.0,230.0000042
0.03,0.0,0.0,219.9999988
0.03,0.0,0.0,230.0000042
0.03,0.0,0.0,239.9999946
0.03,0.0,0.0,239.9999946
0.03,0.0,0.0,250.0
0.03,0.0,0.0,250.0
0.03,0.0,0.0,270.0000107
0.06,0.0,0.0,280.0000012
0.08,0.0,0.0,310.0000024
0.08,0.0,0.0,310.0000024
0.08,0.0,0.0,319.9999928
0.08,0.0,0.0,330.0000131
0.08,0.0,0.0,0.0
0.82,0.0,0.06,1660.0
0.85,0.0,0.06,1640.0
0.85,0.0,0.06,1620.000005
0.77,0.0,0.05,1620.000005
0.8,0.0,0.06,1669.999957
0.6,0.0,0.05,1480.000019
0.62,0.0,0.05,1330.000043
0.65,0.0,0.05,1610.000014
0.66,0.0,0.05,1600.000024
0.61,0.0,0.11,1629.999995
0.73,0.0,0.13,1759.99999
0.77,0.0,0.14,1830.000043
0.81,0.0,0.14,2000.0
0.85,0.0,0.14,1980.000019
0.85,0.0,0.15,2059.999943
0.88,0.0,0.16,2079.999924
0.95,0.0,0.15,2480.000019
0.99,0.0,0.15,2470.000029
1.0,0.0,0.16,2589.999914
1.06,0.0,0.16,2849.999905
1.01,0.0,0.15,0.0
0.25,0.0,0.28,1470.0
0.29,0.0,0.28,1600.0
0.27,0.0,0.26,1830.000043
0.26,0.0,0.25,1809.999943
0.27,0.0,0.26,1669.999957
0.27,0.0,0.26,1700.000048
0.28,0.0,0.27,1720.000029
0.3,0.0,0.15,2049.999952
0.29,0.0,0.18,2029.999971
0.48,0.0,0.2,1990.00001
0.39,0.0,0.17,2460.000038
0.53,0.0,0.12,2700.000048
0.83,0.0,0.22,2420.000076
0.86,0.0,0.14,2650.000095
0.89,0.0,0.09,3019.999981
0.9,0.0,0.08,3279.999971
0.95,0.0,0.07,3359.999895
0.87,0.0,0.13,3329.999924
0.8,0.0,0.2,3289.999962
0.85,0.0,0.17,3319.999933
0.81,0.0,0.11,0.0
1.3,0.0,2.24,4990.0
1.86,0.0,1.89,5800.0
2.3,0.0,1.63,6090.000153
2.54,0.0,1.81,6730.000019
3.12,0.0,1.54,7559.999943
3.48,0.0,1.92,6969.99979
3.48,0.0,2.26,7969.99979
3.61,0.0,2.44,8539.999962
3.71,0.0,2.57,8590.000153
3.31,0.0,3.07,8069.999695
3.18,0.0,3.34,8180.000305
3.6,0.0,3.4,8810.00042
3.94,0.0,3.55,9239.999771
4.15,0.0,3.57,9369.999886
4.76,0.0,3.61,9460.000038
5.11,0.0,4.28,9930.000305
4.77,0.0,4.79,9470.000267
4.19,0.0,5.41,9260.000229
3.8,0.0,6.11,10050.00019
5.39,0.0,5.73,10220.00027
5.46,0.0,5.85,0.0
20.77,14.18,0.24,54630.0
22.03,14.13,0.26,56280.0
21.97,13.95,0.23,55599.99847
22.79,11.01,0.33,58189.99863
20.86,11.91,0.94,56349.99847
20.05,13.83,1.87,55919.99817
20.9,13.46,1.49,55459.99908
23.4,14.68,1.88,53849.99847
22.85,14.82,2.35,53009.99832
17.59,15.43,2.89,47840.00015
18.59,15.76,3.02,47880.00107
17.62,15.69,2.71,46909.99985
16.19,15.79,2.64,43430.00031
12.1,15.37,2.78,40759.99832
10.54,15.65,3.16,40630.00107
11.24,15.83,3.22,43380.00107
12.51,16.05,3.25,44250.0
13.25,16.1,3.48,46439.99863
12.43,15.73,3.77,46400.00153
13.2,16.29,4.7,46380.00107
13.2,16.06,5.52,0.0
0.0,0.0,7.61,2230.0
0.0,0.0,7.96,2160.0
0.01,0.0,8.34,2240.00001
0.01,0.0,8.43,2230.000019
0.01,0.0,8.54,2319.999933
0.01,0.0,8.61,2289.999962
0.01,0.0,9.85,2329.999924
0.0,0.0,11.89,2380.000114
0.0,0.0,16.34,2180.000067
0.0,0.0,16.71,2109.999895
0.0,0.0,16.74,1960.000038
0.0,0.0,16.85,1889.999986
0.0,0.0,17.29,1860.000014
0.0,0.0,17.99,2029.999971
0.0,0.0,17.8,2049.999952
0.0,0.0,18.55,2059.999943
0.0,0.0,18.17,1629.999995
0.0,0.0,18.84,1669.999957
0.0,0.0,19.43,1700.000048
0.0,0.0,19.12,1639.999986
0.0,0.0,18.78,0.0
475.35,15.77,80.27,937860.0
491.01,18.89,76.19,953540.0
517.51,19.35,72.78,985450.0122
545.36,18.14,74.63,1011770.02
567.86,21.26,109.2,1085670.044
579.32,17.73,107.47,1136469.971
599.24,17.63,127.56,1215209.961
636.68,17.83,141.75,1336739.99
674.27,15.23,138.91,1424380.005
728.56,16.82,134.33,1564880.005
771.78,23.08,142.61,1659979.98
828.16,32.22,173.62,1756739.99
893.45,33.14,165.25,1909439.941
924.93,33.31,187.9,1972430.054
1025.29,34.69,202.04,2147110.107
1080.44,38.31,203.21,2158020.02
1155.52,37.9,208.21,2195250.0
1198.85,37.41,234.9,2320409.912
1276.32,39.05,263.61,2451929.932
1273.59,45.16,303.16,2456300.049
1202.34,44.61,315.76,0.0
78.43,0.0,19.6,280650.0
83.96,0.0,22.19,302060.0
92.03,0.0,21.0,305640.0146
97.57,0.0,19.82,333890.0146
103.8,0.0,20.97,341239.9902
110.22,0.0,22.66,342149.9939
116.8,0.0,21.18,364470.0012
124.1,0.0,24.29,379959.9915
129.55,0.0,26.34,376140.0146
136.05,0.0,26.79,391079.9866
142.88,0.0,34.63,415519.989
161.41,0.0,30.46,475309.9976
177.83,0.0,31.11,481510.0098
189.66,0.0,35.5,447940.0024
203.11,0.0,34.41,483910.0037
209.71,0.0,33.56,488549.9878
217.97,0.0,39.58,482510.0098
222.64,0.0,43.17,517320.0073
235.41,0.0,48.38,576989.9902
247.39,0.0,48.04,619840.0269
238.91,0.0,52.91,0.0
29.41,0.0,0.61,87630.0
29.74,0.0,0.61,97550.0
31.34,0.0,0.51,91160.00366
26.23,0.0,0.43,81279.99878
29.89,0.0,0.49,88110.00061
22.94,0.0,5.94,85129.99725
26.07,0.0,6.04,82959.99908
25.85,0.0,5.68,76650.00153
31.35,0.0,3.45,88139.99939
39.83,0.0,3.19,94199.99695
41.49,0.0,4.72,108550.0031
47.48,0.0,3.36,113040.0009
39.13,0.0,4.35,129000.0
50.45,0.0,4.76,139100.0061
60.94,0.0,2.96,134039.9933
62.17,0.0,2.58,133169.9982
72.06,0.0,3.4,142229.9957
80.07,0.0,2.21,155080.0018
80.93,0.0,2.18,163149.9939
83.85,0.0,5.34,174559.9976
86.45,0.0,5.3,0.0
22.49,0.0,1.18,42530.0
23.61,0.0,1.03,44820.0
23.46,0.0,1.38,43930.00031
23.72,0.0,1.14,44090.00015
23.83,0.0,1.39,44689.99863
23.75,0.0,1.87,46650.00153
24.64,0.0,2.47,47259.99832
25.56,0.0,2.81,46360.00061
26.32,0.0,3.6,45779.99878
23.85,0.0,4.12,40560.00137
24.44,0.0,3.72,40189.99863
21.73,0.0,5.43,36680.00031
21.88,0.0,5.25,37130.00107
19.94,0.0,5.63,35709.99908
19.42,0.0,6.39,35529.99878
20.24,0.0,7.86,37060.00137
22.71,0.0,7.52,38819.99969
21.78,0.0,8.88,37779.99878
20.7,0.0,10.2,37659.99985
18.92,0.0,11.8,35750.0
18.51,0.0,13.46,0.0
40.07,0.0,0.03,57000.0
41.3,0.0,0.02,57950.0
42.74,0.0,0.03,61080.00183
44.18,0.0,0.04,62930.00031
44.41,0.0,0.04,63159.99985
45.65,0.0,0.04,61009.99832
47.5,0.0,0.02,64330.00183
50.53,0.0,0.03,66599.99847
53.34,0.0,0.04,66709.99908
54.67,0.0,0.07,65730.00336
58.41,0.0,0.14,70519.99664
59.34,0.0,0.26,69819.99969
62.57,0.0,0.44,76059.99756
60.76,0.0,0.58,67000.0
59.9,0.0,0.96,64720.00122
62.99,0.0,1.25,66139.99939
65.34,0.0,1.69,64980.00336
65.81,0.0,1.79,65610.00061
67.02,0.0,1.85,61080.00183
68.82,0.0,2.9,62650.00153
67.75,0.0,3.86,0.0
218.28,0.0,50.87,436300.0
216.73,0.0,54.35,436570.0
228.45,0.0,48.31,443470.0012
238.52,0.0,46.86,462200.0122
240.95,0.0,53.88,472399.9939
247.29,0.0,48.43,473829.9866
256.03,0.0,50.64,466649.9939
259.49,0.0,47.72,459369.9951
254.34,0.0,58.16,444980.011
218.32,0.0,69.26,397059.9976
220.93,0.0,76.98,405269.989
216.78,0.0,82.96,396690.0024
204.26,0.0,92.22,376750.0
175.07,0.0,112.0,346459.9915
156.76,0.0,120.68,327500.0
172.06,0.0,108.89,337859.9854
179.19,0.0,108.01,333339.9963
189.44,0.0,103.89,329190.0024
172.98,0.0,114.41,324880.0049
175.52,0.0,115.83,317239.9902
161.17,0.0,116.9,0.0
5.76,0.0,0.46,10060.0
5.85,0.0,0.41,10080.0
6.07,0.0,0.46,10250.0
6.23,0.0,0.5,10590.00015
6.25,0.0,0.54,10569.99969
6.4,0.0,0.59,10560.00042
6.43,0.0,0.6,12060.00042
5.09,0.0,0.52,12020.00046
3.57,0.0,0.43,9619.999886
3.64,0.0,0.42,7880.000114
3.55,0.0,0.41,7480.000019
3.56,0.0,0.45,7530.00021
3.46,0.0,0.47,6960.000038
3.5,0.0,0.43,7400.000095
3.45,0.0,0.46,7190.000057
3.45,0.0,0.46,7090.000153
3.63,0.0,0.5,7570.000172
3.5,0.0,0.6,7219.99979
3.48,0.0,0.69,8609.999657
3.6,0.0,0.65,8390.000343
3.43,0.0,0.64,0.0
