Electricity from fossil fuels (TWh),Value_co2_emissions_kt_by_country
0.95,1440.000057
0.96,1269.999981
0.97,1269.999981
0.98,1289.999962
0.98,1179.999948
0.97,1240.00001
0.98,1250.0
0.93,0.0
24.51,52940.0
23.53,51880.0
24.84,51840.00015
25.0,52700.00076
29.31,56040.00092
29.07,56779.99878
29.79,59119.99893
29.81,57650.00153
32.79,60529.99878
28.38,57400.00153
32.68,61669.99817
30.12,58549.99924
28.78,59939.99863
29.31,59990.00168
32.36,59500.0
31.73,54819.99969
31.15,55139.99939
31.71,56009.99832
35.85,58950.00076
36.74,57669.99817
34.59,0.0
33.58,117270.0
31.2,118340.0
32.44,110849.9985
34.99,115500.0
34.11,114019.9966
34.39,110610.0006
33.46,108650.0015
34.84,104589.9963
32.82,106930.0003
37.0,99669.99817
38.39,106720.0012
32.51,96480.00336
30.62,95269.99664
27.37,96589.99634
25.03,90139.99939
27.57,95129.99725
26.19,94220.00122
26.9,92720.00122
27.75,93660.00366
29.32,93010.00214
30.0,0.0
0.09,450.0
0.06,530.0
0.06,519.9999809
0.11,509.9999905
0.1,439.9999976
0.1,469.9999988
0.05,509.9999905
0.06,529.9999714
0.03,500.0
0.05,1460.000038
0.18,560.0000024
0.14,670.0000167
0.2,670.0000167
0.15,460.0000083
0.19,479.9999893
0.23,680.0000072
0.21,649.9999762
0.35,639.9999857
0.39,629.9999952
0.41,639.9999857
0.38,0.0
0.08,1420.0
0.06,1740.0
0.06,2180.000067
0.07,2440.000057
0.08,2650.000095
0.1,2900.000095
0.14,3470.000029
0.2,4000.0
0.21,4019.999981
0.12,4420.000076
0.11,4829.999924
0.09,4650.000095
0.05,4440.000057
0.09,4679.999828
0.22,5190.000057
0.3,5510.000229
0.25,6739.999771
0.31,6869.999886
0.19,7420.000076
0.19,7300.000191
0.22,0.0
0.0,210.0
0.0,230.0
0.0,239.9999946
0.0,259.9999905
0.0,289.9999917
0.0,319.9999928
0.0,319.9999928
0.0,319.9999928
0.0,300.0000119
0.0,319.9999928
0.0,400.000006
0.0,589.9999738
0.0,639.9999857
0.0,670.0000167
0.0,699.9999881
0.0,769.9999809
0.0,930.0000072
0.0,970.0000286
0.0,1049.999952
0.0,1049.999952
0.0,0.0
5.01,13960.0
5.13,13760.0
5.19,14560.00042
6.36,14869.99989
6.34,15569.99969
6.21,16229.99954
7.0,17909.99985
7.32,18889.99939
9.36,20760.00023
8.86,20590.00015
8.55,20840.00015
10.24,23739.99977
9.27,21959.99908
9.6,21850.00038
9.61,19489.99977
9.47,19620.00084
11.37,22340.00015
11.68,22680.00031
11.76,22600.00038
10.36,21069.99969
10.82,0.0
0.89,4030.0
0.95,3870.0
0.84,4030.00021
0.68,3920.000076
0.74,3970.000029
0.81,4280.00021
0.75,4090.000153
0.58,4320.000172
0.55,4389.999866
0.41,4190.000057
0.5,3369.999886
0.45,3880.000114
0.33,3410.000086
0.86,5420.000076
2.17,6989.999771
2.79,6949.999809
2.52,6630.000114
2.84,7329.999924
2.96,7309.999943
3.05,7250.0
2.05,0.0
28.87,313670.0
35.19,319380.0
33.5,317760.0098
31.62,310809.9976
40.14,328519.989
39.56,331690.0024
39.4,335619.9951
37.64,352559.9976
55.87,373630.0049
36.32,350000.0
61.02,397929.9927
50.27,418309.9976
77.21,454230.011
112.0,486839.9963
136.58,511619.9951
128.85,485339.9963
93.06,447079.9866
101.9,456489.9902
86.69,433989.9902
90.91,434299.9878
81.15,0.0
19.79,43420.0
22.25,46190.0
19.75,43599.99847
22.02,47930.00031
21.44,47270.00046
20.98,47990.00168
21.76,48950.00076
25.38,52599.99847
25.86,50040.00092
23.39,42909.99985
24.97,44740.00168
29.75,49639.99939
25.45,45020.00046
21.96,39659.99985
23.66,42049.99924
24.57,44560.00137
21.74,41590.00015
23.25,43880.00107
21.03,40900.00153
19.75,39139.99939
16.12,0.0
0.22,940.0
0.27,970.0
0.3,959.9999785
0.35,1039.999962
0.37,1059.999943
0.39,1059.999943
0.44,1240.00001
0.47,1409.999967
0.45,1700.000048
0.53,1730.000019
0.51,2289.999962
0.6,2460.000038
0.76,2940.000057
0.87,3130.000114
1.02,3180.000067
1.33,3700.000048
1.39,3700.000048
1.48,4269.999981
1.42,4670.000076
1.51,5000.0
1.43,0.0
0.0,260.0
0.0,200.0
0.0,209.9999934
0.0,159.9999964
0.0,150.000006
0.0,150.000006
0.0,180.0000072
0.0,180.0000072
0.0,180.0000072
0.0,180.0000072
0.0,300.0000119
0.01,360.0000143
0.01,370.0000048
0.03,389.9999857
0.04,379.9999952
0.03,400.000006
0.03,439.9999976
0.08,529.9999714
0.1,689.9999976
0.12,720.0000286
0.11,0.0
0.42,1960.0
0.48,2150.0
0.66,2210.000038
0.67,2380.000114
0.73,2380.000114
0.86,2660.000086
0.98,2960.000038
1.25,3660.000086
1.23,4059.999943
1.02,4750.0
0.81,5139.999866
0.81,5360.000134
0.51,5670.000076
0.47,5739.999771
1.03,6949.999809
2.1,8430.000305
2.62,11069.99969
3.7,12689.99958
2.96,14579.99992
3.94,16180.00031
3.83,0.0
0.04,5210.0
0.06,5160.0
0.11,5130.000114
0.15,5210.000038
0.18,5119.999886
0.22,5019.999981
0.54,5090.000153
1.24,6130.000114
1.29,6389.999866
1.59,7030.00021
1.49,7010.000229
1.38,6809.999943
1.09,6880.000114
1.82,7550.000191
2.33,8250.0
3.37,8460.000038
2.58,9079.999924
2.78,9170.000076
3.29,9590.000153
2.99,9430.000305
2.84,0.0
155.56,514220.0
159.93,506620.0
155.12,524349.9756
157.35,544539.978
148.86,536419.9829
150.78,549030.0293
139.71,540530.0293
149.36,571630.0049
141.33,550469.9707
129.76,521320.0073
130.08,537010.0098
131.3,549289.978
124.2,546210.022
122.87,555659.9731
122.75,561679.9927
125.7,558700.0122
122.35,556830.0171
113.7,568080.0171
112.47,580090.0269
110.65,580210.022
102.19,0.0
0.02,240.0
0.02,250.0
0.02,250.0
0.02,230.0000042
0.03,230.0000042
0.03,219.9999988
0.03,230.0000042
0.02,239.9999946
0.02,170.0000018
0.02,170.0000018
0.03,170.0000018
0.03,189.9999976
0.03,200.000003
0.0,119.9999973
0.0,129.9999952
0.0,189.9999976
0.0,209.9999934
0.0,219.9999988
0.0,230.0000042
0.0,239.9999946
0.0,0.0
0.08,290.0
0.09,340.0
0.09,400.000006
0.1,449.9999881
0.11,449.9999881
0.11,479.9999893
0.12,509.9999905
0.12,500.0
0.14,540.0000215
0.17,790.0000215
0.18,1240.00001
0.18,1100.000024
0.23,1860.000014
0.26,2190.000057
0.27,2259.99999
0.28,2390.000105
0.28,2210.000038
0.29,2150.000095
0.29,2190.000057
0.3,2250.0
0.28,0.0
20.42,50420.0
19.59,48430.0
19.87,49119.99893
23.3,50200.00076
27.79,54970.00122
25.2,55970.00122
25.54,57150.00153
33.69,64569.99969
32.59,67989.99786
32.12,65449.99695
36.71,69750.0
41.0,76470.00122
45.17,78410.00366
48.0,83000.0
44.51,76559.99756
44.37,82230.00336
49.09,86489.99786
44.9,87069.99969
43.85,86610.00061
45.16,91370.00275
43.69,0.0
1113.3,3346530.0
1182.59,3529080.0
1337.46,3810060.059
1579.96,4415910.156
1795.41,5124819.824
2042.8,5824629.883
2364.16,6437470.215
2718.7,6993180.176
2762.29,7199600.098
2980.2,7719069.824
3326.19,8474919.922
3811.77,9282549.805
3869.38,9541870.117
4203.77,9984570.313
4345.86,10006669.92
4222.76,9861099.609
4355.0,9874660.156
4643.1,10096009.77
4990.28,10502929.69
5098.22,10707219.73
5184.13,0.0
10.21,58340.0
10.78,58940.0
10.25,56770.00046
9.6,56110.00061
8.87,56110.00061
9.71,57639.99939
10.13,57689.99863
9.93,59180.00031
8.77,59779.99878
14.77,62009.99832
15.96,63560.00137
10.11,69099.99847
12.96,69699.99695
21.71,76860.00061
20.99,79199.99695
27.22,80230.00336
25.02,82680.00031
16.07,74989.99786
19.11,78589.99634
23.84,81040.00092
27.17,0.0
0.02,100.0
0.03,110.0
0.03,109.9999994
0.03,140.0000006
0.04,150.000006
0.04,150.000006
0.04,170.0000018
0.04,109.9999994
0.04,109.9999994
0.04,140.0000006
0.04,170.0000018
0.05,150.000006
0.05,159.9999964
0.05,189.9999976
0.05,170.0000018
0.05,189.9999976
0.05,219.9999988
0.09,280.0000012
0.09,300.0000119
0.1,319.9999928
0.13,0.0
0.07,4950.0
